Modality,Cancer_Type,Intra_Cluster_Distance
clinical,KIRC,14.799115766746722
clinical,OV,19.512284128378468
clinical,BRCA,16.72867007049725
molecular,KIRC,0.6058293331110711
molecular,OV,0.7321673143879636
molecular,BRCA,0.5307582353330519
pathology,KIRC,26.18136105108797
pathology,OV,21.846651733344327
pathology,BRCA,23.00525740410784
radiology,KIRC,0.6407237910850441
radiology,OV,3.1712865150725165
radiology,BRCA,0.20323065086591038
multimodal,KIRC,36.21512560540817
multimodal,OV,36.925167107413
multimodal,BRCA,33.436410300165626
