text_type,model,embeddings,ami,nmi,n_samples,n_clusters
clinical,gatortron,pretrained,0.709159796100106,0.7517596022896342,1000,32
clinical,qwen,pretrained,0.7852665699003551,0.8161798135760302,1000,32
clinical,medgemma,pretrained,0.5895615044533546,0.6482209539943359,1000,32
clinical,llama,pretrained,0.6045420727836821,0.6610997128394221,1000,32
pathology,gatortron,pretrained,0.34685240321003136,0.4375055359419755,1000,32
pathology,gatortron,finetuned,0.9133106080481862,0.9257081284369266,1000,32
pathology,qwen,pretrained,0.3933706740418325,0.4783841101193105,1000,32
pathology,qwen,finetuned,0.9348577365361209,0.9442539097657521,1000,32
pathology,medgemma,pretrained,0.255168333408229,0.3578618728712206,1000,32
pathology,medgemma,finetuned,0.934161456386438,0.9433757056201865,1000,32
pathology,llama,pretrained,0.3245792556088534,0.41759923570731056,1000,32
pathology,llama,finetuned,0.9262492106657212,0.9366995839811333,1000,32
